customerid,companyname,contactname,contacttitle,address,city,country,phone
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,Germany,030-0074321
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,Mexico,(5) 555-4729
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,Mexico,(5) 555-3932
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,UK,(171) 555-7788
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,Sweden,0921-12 34 65
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,Germany,0621-08460
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,24- place Kléber,Strasbourg,France,88.60.15.31
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,C/ Araquil- 67,Madrid,Spain,(91) 555 22 82
BONAP,Bon app',Laurence Lebihan,Owner,12- rue des Bouchers,Marseille,France,91.24.45.40
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,Canada,(604) 555-4729
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,UK,(171) 555-1212
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,Argentina,(1) 135-5555
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,Mexico,(5) 555-3392
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,Switzerland,0452-076545
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,Av. dos Lusíadas- 23,Sao Paulo,Brazil,(11) 555-7647
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,UK,(171) 555-2282
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,Germany,0241-039123
DUMON,Du monde entier,Janine Labrune,Owner,67- rue des Cinquante Otages,Nantes,France,40.67.88.88
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,UK,(171) 555-0297
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,Austria,7675-3425
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Rua Orós- 92,Sao Paulo,Brazil,(11) 555-9857
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,C/ Moralzarzal- 86,Madrid,Spain,(91) 555 94 44
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,184- chaussée de Tournai,Lille,France,20.16.10.16
FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,Sweden,0695-34 67 21
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,Germany,089-0877310
FRANR,France restauration,Carine Schmitt,Marketing Manager,54- rue Royale,Nantes,France,40.32.21.21
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,Italy,011-4988260
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,Portugal,(1) 354-2534
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,Rambla de Cataluña- 23,Barcelona,Spain,(93) 203 4560
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,C/ Romero- 33,Sevilla,Spain,(95) 555 82 82
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,Av. Brasil- 442,Campinas,Brazil,(11) 555-9482
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,USA,(503) 555-7555
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,Venezuela,(2) 283-2951
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rua do Paço- 67,Rio de Janeiro,Brazil,(21) 555-0091
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,(5) 555-1340
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,USA,(503) 555-6874
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Ireland,2967 542
